;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 44;12,001;16,002;13,234;15,985;180,9458036;3,648156477;3,245364901;0,044890451;306,6869832;4,24214765;283008,9392;56277,22062;11269424490;469164739,2;164,8025447;0,054999467;6,068279891;0,739549167;3,407240178;-0,000551503;-3,392656547;0,491116639;9001831879;7725601,469;13,68630463;0,882289032;0,000304455;1,771311541;5,13607E-05;3;342,8425515;1791,030847;245,6752461;1545,355601
Indent 45;12,001;12,002;12,933;12,049;195,1375433;5,604256804;3,446579521;0,062314862;325,7017647;5,888754451;300488,2539;61665,62178;12051862378;393983417,9;167,851905;0,09351054;9,518896873;0,902147642;3,137605047;0,001058886;6,102778893;0,935636956;10294897444;6021289,93;9,924354473;0,756860326;0,000154539;1,901491488;4,79444E-05;2,953542656;334,2898909;1879,789681;259,0234208;1620,76626
Indent 46;12,001;8,001;12,667;8,08;175,7911777;1,63570514;3,132716094;0,059362674;296,0416709;5,6097727;275370,9564;51832,01934;11110988956;289618441,7;174,0567735;0,005914873;0,672484863;0,043951202;3,410144618;-0,00094612;-6,036140584;0,853798671;9945872816;3973418,7;7,147361952;0,632653881;0,000326033;1,752477152;0,000339742;2,555033008;346,2870884;1724,055717;230,9000972;1493,15562
Indent 47;12,001;4,001;12,233;4,111;183,1001344;5,017326963;3,231124552;0,020748196;305,3412702;1,960704524;285475,9768;58229,00493;11546051024;508140638,1;158,8170563;0,083036099;9,056982587;0,881281742;3,186571721;0,000152349;0,941651207;0,173477053;9110315509;8329008,942;14,40671999;0,864459211;0,000233016;1,818165272;3,89247E-05;3;338,6335952;1788,204573;236,9362503;1551,268323
Indent 48;12,001;0;11,933;0,308;166,283739;3,425092018;3,058534141;0,10248346;289,0314763;9,684686962;262068,8783;52201,31141;10360874986;647585764,4;150,7352959;0,05319932;6,307839536;0,766220682;3,537700551;-0,001639478;-10,56857772;0,812811275;7100100954;11156805,86;21,23086954;0,942695351;0,000430155;1,698779858;0,000174266;2,688888611;342,4979732;1652,787901;214,2496511;1438,53825
Indent 49;16,002;0;15,769;-0,225;179,8965458;1,907566666;3,099983581;0,096676312;292,9484484;9,135911469;280694,8895;52660,37705;11686690501;416412442,4;178,6848165;0,004142784;0,456995766;0,01553138;3,567627378;-0,001598829;-10,23493701;0,900634299;9791966195;6477877,601;10,9997768;0,796898356;0,000450643;1,694000414;0,000330771;2,579903274;348,5530521;1698,672212;214,9858019;1483,68641
Indent 50;16,002;4,001;16,136;3,444;198,8350889;1,367277497;3,691897946;0,07502825;348,8843559;7,09016962;301655,1042;56576,0109;11618200845;270130993;198,6344451;0,000691146;0,069440714;0,000854495;4,057649972;-0,001259884;-6,817396069;0,942964414;10444169054;4044117,254;6,953804079;0,749518472;0,00031832;1,78284737;0,000201682;2,715561142;347,9142908;1991,00251;272,4992617;1718,503248
Indent 51;16,002;8,001;16,469;7,313;189,8809891;1,79672217;3,627364986;0,128272123;342,7859912;12,12171562;292011,9764;54271,2243;10948850585;381811075,2;190,9790198;-0,003751166;-0,394558419;0,014398925;4,259144232;-0,002158327;-11,88372024;0,935253002;9148198803;6151507,213;11,22120577;0,85748275;0,000517405;1,694461617;0,000491872;2,470882735;345,1765502;1967,982515;266,0968398;1701,885675
Indent 52;16,002;12,001;16,736;11,249;201,8857934;5,346580544;4,756286506;0,373707043;449,4690748;35,31531558;298175,9156;51261,98562;9276766884;356760588,5;227,342552;-0,088056348;-8,714949573;0,918775702;6,603652754;-0,006390143;-26,84432768;0,990373396;7606923242;5776082,291;12,44075387;0,8878782;0,001445927;1,552480241;0,000201681;2,65170117;342,0068286;2475,44143;354,016204;2121,425226
Indent 53;16,002;16,002;17,136;15,185;191,6441081;5,206889587;4,123402179;0,368061063;389,6615059;34,78177046;287483,7107;49322,21706;9815043820;458451797,7;216,4460315;-0,085796161;-8,909105705;0,922609232;5,936078043;-0,006270507;-30,26277006;0,986289391;7623574872;7580848,42;15,37047541;0,929152698;0,001856343;1,485940092;4,30833E-05;3;340,3646548;2179,619036;274,212334;1905,406702
